"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA , ŠTUDIJSKO LETO"

" ";" ";" ";" ";"2004/05";"2005/06";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18"
"Visokošolski zavodi - SKUPAJ"
" ";"Vrsta izobraževanja - SKUPAJ"
" ";" ";" ";"Izredni";985;492;607;385;395;-;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";224;181;63;66;46;127;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";38;17;19;22;30;43;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";186;164;44;44;16;84;-;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;1;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;42;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;42;-;-;-;-;-;-;-;-
" ";"Magistrsko (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";6165;5473;4635;4477;4902;3882;79;1;2;1;-;-;-;-
" ";" ";" ";"Redni";1301;999;834;664;789;516;4;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";4864;4474;3801;3813;4113;3366;75;1;2;1;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";2998;2247;2250;2261;2870;13;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";695;514;451;387;476;5;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";2303;1733;1799;1874;2394;8;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";3150;3208;2385;2216;2032;3656;78;1;2;1;-;-;-;-
" ";" ";" ";"Redni";606;485;383;277;313;509;3;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";2544;2723;2002;1939;1719;3147;75;1;2;1;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";10;9;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";10;9;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";7;9;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";7;9;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;213;1;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;2;1;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;211;-;-;-;-;-;-;-;-
" ";"Doktorsko (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";964;1012;1151;1256;1381;1298;1057;645;174;7;-;-;-;-
" ";" ";" ";"Redni";368;416;425;401;414;362;283;171;14;-;-;-;-;-
" ";" ";" ";"Izredni";596;596;726;855;967;936;774;474;160;7;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";197;80;95;77;125;8;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";84;55;50;46;68;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";113;25;45;31;57;8;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";95;67;70;105;79;101;5;-;-;-;-;-;-;-
" ";" ";" ";"Redni";56;25;49;59;48;55;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";39;42;21;46;31;46;5;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";456;483;628;571;696;628;594;5;-;-;-;-;-;-
" ";" ";" ";"Redni";129;205;191;149;163;162;152;2;-;-;-;-;-;-
