"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA, SPOL , ŠTUDIJSKO LETO"

"Univerze - SKUPAJ"
" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";"1. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";-
" ";" ";" ";" ";" ";"2007";-
" ";" ";" ";" ";" ";"2008";-
" ";" ";" ";" ";" ";"2009";-
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";"Absolventi"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";2011
" ";" ";" ";" ";" ";"2005";1982
" ";" ";" ";" ";" ";"2006";2115
" ";" ";" ";" ";" ";"2007";1977
" ";" ";" ";" ";" ";"2008";1909
" ";" ";" ";" ";" ";"2009";1656
" ";" ";" ";" ";" ";"2010";1310
" ";" ";" ";" ";" ";"2011";1020
" ";" ";" ";" ";" ";"2012";136
" ";" ";" ";" ";" ";"2013";1
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";2587
" ";" ";" ";" ";" ";"2005";2610
" ";" ";" ";" ";" ";"2006";2781
" ";" ";" ";" ";" ";"2007";2701
" ";" ";" ";" ";" ";"2008";2038
" ";" ";" ";" ";" ";"2009";1401
" ";" ";" ";" ";" ";"2010";1221
" ";" ";" ";" ";" ";"2011";923
" ";" ";" ";" ";" ";"2012";98
" ";" ";" ";" ";" ";"2013";3
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";1118
" ";" ";" ";" ";" ";"2005";1028
" ";" ";" ";" ";" ";"2006";1019
" ";" ";" ";" ";" ";"2007";920
" ";" ";" ";" ";" ";"2008";860
" ";" ";" ";" ";" ";"2009";577
" ";" ";" ";" ";" ";"2010";176
" ";" ";" ";" ";" ";"2011";251
" ";" ";" ";" ";" ";"2012";67
" ";" ";" ";" ";" ";"2013";28
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";2051
" ";" ";" ";" ";" ";"2005";1979
" ";" ";" ";" ";" ";"2006";1738
" ";" ";" ";" ";" ";"2007";1738
" ";" ";" ";" ";" ";"2008";1357
" ";" ";" ";" ";" ";"2009";934
" ";" ";" ";" ";" ";"2010";417
" ";" ";" ";" ";" ";"2011";373
" ";" ";" ";" ";" ";"2012";49
" ";" ";" ";" ";" ";"2013";8
" ";" ";" ";" ";" ";"2014";-
" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";"1. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";342
" ";" ";" ";" ";" ";"2006";665
" ";" ";" ";" ";" ";"2007";1476
" ";" ";" ";" ";" ";"2008";2090
" ";" ";" ";" ";" ";"2009";3944
" ";" ";" ";" ";" ";"2010";3536
" ";" ";" ";" ";" ";"2011";3722
" ";" ";" ";" ";" ";"2012";3390
" ";" ";" ";" ";" ";"2013";3157
" ";" ";" ";" ";" ";"2014";2954
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";1009
" ";" ";" ";" ";" ";"2006";1648
" ";" ";" ";" ";" ";"2007";2121
" ";" ";" ";" ";" ";"2008";2314
" ";" ";" ";" ";" ";"2009";3773
" ";" ";" ";" ";" ";"2010";3457
" ";" ";" ";" ";" ";"2011";3038
" ";" ";" ";" ";" ";"2012";2611
" ";" ";" ";" ";" ";"2013";2495
" ";" ";" ";" ";" ";"2014";2161
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";702
" ";" ";" ";" ";" ";"2006";798
" ";" ";" ";" ";" ";"2007";792
" ";" ";" ";" ";" ";"2008";875
" ";" ";" ";" ";" ";"2009";911
" ";" ";" ";" ";" ";"2010";504
" ";" ";" ";" ";" ";"2011";483
" ";" ";" ";" ";" ";"2012";343
" ";" ";" ";" ";" ";"2013";290
" ";" ";" ";" ";" ";"2014";201
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";1047
" ";" ";" ";" ";" ";"2006";993
" ";" ";" ";" ";" ";"2007";1048
" ";" ";" ";" ";" ";"2008";904
" ";" ";" ";" ";" ";"2009";1030
" ";" ";" ";" ";" ";"2010";805
" ";" ";" ";" ";" ";"2011";701
" ";" ";" ";" ";" ";"2012";569
" ";" ";" ";" ";" ";"2013";593
" ";" ";" ";" ";" ";"2014";530
" ";" ";"2. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";233
" ";" ";" ";" ";" ";"2007";331
" ";" ";" ";" ";" ";"2008";704
" ";" ";" ";" ";" ";"2009";883
" ";" ";" ";" ";" ";"2010";1618
" ";" ";" ";" ";" ";"2011";1642
" ";" ";" ";" ";" ";"2012";1646
" ";" ";" ";" ";" ";"2013";1530
" ";" ";" ";" ";" ";"2014";1452
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";630
" ";" ";" ";" ";" ";"2007";844
" ";" ";" ";" ";" ";"2008";1091
" ";" ";" ";" ";" ";"2009";1085
" ";" ";" ";" ";" ";"2010";1998
" ";" ";" ";" ";" ";"2011";1829
" ";" ";" ";" ";" ";"2012";1435
" ";" ";" ";" ";" ";"2013";1399
" ";" ";" ";" ";" ";"2014";1334
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";251
" ";" ";" ";" ";" ";"2007";408
" ";" ";" ";" ";" ";"2008";404
" ";" ";" ";" ";" ";"2009";560
" ";" ";" ";" ";" ";"2010";526
" ";" ";" ";" ";" ";"2011";373
" ";" ";" ";" ";" ";"2012";297
" ";" ";" ";" ";" ";"2013";230
" ";" ";" ";" ";" ";"2014";219
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";340
" ";" ";" ";" ";" ";"2007";574
" ";" ";" ";" ";" ";"2008";662
" ";" ";" ";" ";" ";"2009";646
" ";" ";" ";" ";" ";"2010";768
" ";" ";" ";" ";" ";"2011";621
" ";" ";" ";" ";" ";"2012";533
" ";" ";" ";" ";" ";"2013";458
" ";" ";" ";" ";" ";"2014";465
" ";" ";"3. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";6
" ";" ";" ";" ";" ";"2006";19
" ";" ";" ";" ";" ";"2007";163
" ";" ";" ";" ";" ";"2008";248
" ";" ";" ";" ";" ";"2009";528
" ";" ";" ";" ";" ";"2010";795
" ";" ";" ";" ";" ";"2011";1103
" ";" ";" ";" ";" ";"2012";1126
" ";" ";" ";" ";" ";"2013";1114
" ";" ";" ";" ";" ";"2014";1208
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";30
" ";" ";" ";" ";" ";"2006";43
" ";" ";" ";" ";" ";"2007";537
" ";" ";" ";" ";" ";"2008";685
" ";" ";" ";" ";" ";"2009";962
" ";" ";" ";" ";" ";"2010";889
" ";" ";" ";" ";" ";"2011";1544
" ";" ";" ";" ";" ";"2012";1227
" ";" ";" ";" ";" ";"2013";1111
" ";" ";" ";" ";" ";"2014";1106
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";35
" ";" ";" ";" ";" ";"2006";21
" ";" ";" ";" ";" ";"2007";135
" ";" ";" ";" ";" ";"2008";263
" ";" ";" ";" ";" ";"2009";284
" ";" ";" ";" ";" ";"2010";378
" ";" ";" ";" ";" ";"2011";463
" ";" ";" ";" ";" ";"2012";339
" ";" ";" ";" ";" ";"2013";256
" ";" ";" ";" ";" ";"2014";160
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";60
" ";" ";" ";" ";" ";"2006";56
" ";" ";" ";" ";" ";"2007";172
" ";" ";" ";" ";" ";"2008";432
" ";" ";" ";" ";" ";"2009";498
" ";" ";" ";" ";" ";"2010";476
" ";" ";" ";" ";" ";"2011";617
" ";" ";" ";" ";" ";"2012";492
" ";" ";" ";" ";" ";"2013";438
" ";" ";" ";" ";" ";"2014";399
" ";" ";"4. letnik"
" ";" ";" ";"Redni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";-
" ";" ";" ";" ";" ";"2007";-
" ";" ";" ";" ";" ";"2008";-
" ";" ";" ";" ";" ";"2009";-
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";-
" ";" ";" ";" ";" ";"2007";-
" ";" ";" ";" ";" ";"2008";-
" ";" ";" ";" ";" ";"2009";-
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";"Izredni"
" ";" ";" ";" ";"Moški"
" ";" ";" ";" ";" ";"2004";-
" ";" ";" ";" ";" ";"2005";-
" ";" ";" ";" ";" ";"2006";-
" ";" ";" ";" ";" ";"2007";-
" ";" ";" ";" ";" ";"2008";-
" ";" ";" ";" ";" ";"2009";-
" ";" ";" ";" ";" ";"2010";-
" ";" ";" ";" ";" ";"2011";-
" ";" ";" ";" ";" ";"2012";-
" ";" ";" ";" ";" ";"2013";-
" ";" ";" ";" ";" ";"2014";-
" ";" ";" ";" ";"Ženske"
