id,kid
448,553
448,1575
448,159
448,801
449,1545
449,1192
449,659
449,283
450,1195
450,1544
450,279
451,1428
451,1388
451,590
451,1213
452,27
452,83
452,129
452,763
452,289
453,112
453,311
454,405
454,288
454,413
454,1497
455,1564
455,569
455,802
455,847
455,340
456,116
456,251
456,1319
456,463
456,1602
456,1529
457,669
457,126
457,1517
457,950
457,1391
457,371
457,942
458,1661
458,1662
458,1582
459,1090
459,1079
459,1379
460,62
460,1417
460,1580
461,1509
461,1088
461,126
462,1305
462,1014
462,1009
466,1321
466,227
466,1558
466,1546
466,812
466,51
467,1057
467,187
467,922
468,414
468,1598
468,855
471,1524
471,1639
471,103
471,200
471,1674
471,188
471,341
472,195
472,231
472,772
472,631
475,8
475,38
475,655
475,93
475,1287
475,510
476,741
476,1159
476,996
477,232
477,240
477,896
477,1460
478,1503
478,895
479,991
479,1363
479,912
479,1221
479,141
479,336
480,715
480,1308
480,1647
480,516
480,1027
480,730
481,517
481,1495
481,648
481,1350
481,1620
482,695
482,651
482,1246
482,1572
483,57
483,226
483,527
483,583
483,872
483,1121
483,1517
484,263
484,1105
484,608
484,607
485,1550
485,460
485,800
485,571
485,261
486,1341
486,1313
486,797
486,1299
486,1019
488,1545
488,276
488,277
489,157
489,354
489,748
489,1171
490,902
490,355
490,544
491,633
491,1060
491,630
491,206
492,200
492,399
492,46
492,619
492,550
493,1663
493,796
493,1664
493,481
493,267
493,177
493,930
494,306
494,1622
494,1623
494,833
494,921
494,738
494,1451
494,380
495,1545
495,41
495,288
496,1011
496,1010
496,886
497,1431
497,879
497,818
497,1185
497,219
498,611
498,1162
498,1458
498,869
498,889
498,315
498,376
499,1509
499,200
499,148
499,1306
500,911
500,1581
500,95
500,957
501,1515
501,1368
501,1667
501,528
501,1653
501,1147
502,931
502,410
502,424
503,995
504,58
504,281
504,576
504,1255
505,104
505,1087
505,126
506,1226
506,885
506,1143
506,1516
507,1133
507,15
507,262
507,945
508,35
508,512
508,402
512,1102
512,332
512,891
512,1492
512,235
514,1315
514,171
514,561
514,1522
514,1293
515,30
515,993
515,1159
515,1465
516,1564
516,89
516,177
516,167
517,1093
517,200
517,1600
517,319
517,1427
517,1071
520,151
520,493
520,844
522,1578
522,645
522,551
524,570
524,459
524,1563
524,847
525,420
525,856
525,720
525,1146
526,1225
526,1126
526,1614
527,359
527,374
527,490
527,1423
527,1116
527,296
528,941
528,63
528,1228
528,795
529,859
529,286
529,1282
530,799
530,798
530,416
530,1141
530,349
531,1564
531,422
532,1618
532,1026
532,1483
533,1314
533,126
533,1378
533,1380
534,1149
534,1150
535,408
535,264
535,1447
535,1523
536,1177
536,474
536,1165
536,767
537,1120
537,526
538,395
538,1172
538,776
539,316
539,317
539,318
539,597
539,1450
539,230
539,1013
539,1015
539,18
539,1548
539,1547
540,204
540,1415
540,1422
542,1082
542,501
542,845
542,113
542,1400
544,280
544,1300
545,939
545,935
545,415
547,1616
547,512
547,577
548,1401
548,1066
548,1175
550,688
550,648
551,441
551,1067
551,66
551,440
552,669
552,757
552,456
552,36
553,25
553,1331
553,372
