source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,id
DP FAMNIT,On the minimum rainbow subgraph number of a graph,10.26493/1855-3974.246.94d,CC BY 4.0,"We consider the Minimum Rainbow Subgraph problem (MRS): Given a graph G, whose edges are coloured with p colours. Find a subgraph F ⊆ G of minimum order and with p edges such that each colour occurs exactly once. This problem is NP-hard and APX-hard. For a given graph G and an edge colouring c with p colours we define the rainbow subgraph number rs(G, c) to be the order of a minimum rainbow subgraph of G with size p. In this paper we will show lower and upper bounds for the rainbow subgraph number of a graph.",2012-04-29,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/246,6,1,83,88,139
DP FAMNIT,A note on domination and independence-domination numbers of graphs,10.26493/1855-3974.282.71c,CC BY 4.0,"Vizing's conjecture is true for graphs G satisfying γi(G) = γ(G), where γ(G) is the domination number of a graph G and γi(G) is the independence-domination number of G, that is, the maximum, over all independent sets I in G, of the minimum number of vertices needed to dominate I. The equality γi(G) = γ(G) is known to hold for all chordal graphs and for chordless cycles of length 0 (mod 3). We prove some results related to graphs for which the above equality holds. More specifically, we show that the problems of determining whether γi(G) = γ(G) = 2 and of verifying whether γi(G) ≥ 2 are NP-complete, even if G is weakly chordal. We also initiate the study of the equality γi = γ in the context of hereditary graph classes and exhibit two infinite families of graphs for which γi < γ.",2012-04-30,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/282,6,1,89,97,140
DP FAMNIT,CoNE Revisited 2010 photos,NA,CC BY 4.0,NA,2012-05-09,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/333,5,1,NA,NA,141
DP FAMNIT,Developments and open problems on chiral polytopes,10.26493/1855-3974.183.8a2,CC BY 4.0,This paper presents the current state of the theory of abstract chiral polytopes together with 39 open problems on this topic.,2012-05-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/183,5,2,333,354,142
DP FAMNIT,The tomotope,10.26493/1855-3974.189.e64,CC BY 4.0,"Every abstract 3-polytope M, in particular, every polyhedral map, has a unique minimal regular cover, and the automorphism group of this cover is isomorphic to the monodromy group of M. Here we demonstrate that the situation for polytopes of higher rank must be very different: the tomotope T is a small, highly involved, abstract uniform 4-polytope. It has infinitely many distinct minimal regular covers.",2012-05-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/189,5,2,355,370,143
DP FAMNIT,Two atlases of abstract chiral polytopes for small groups,10.26493/1855-3974.204.f8b,CC BY 4.0,"We construct chiral abstract polytopes in two different ways. Firstly we seek them as quotients of regular polytopes arising from the Atlas of Small Regular Polytopes (http://www.abstract-polytopes.com/atlas/); the resulting atlas of chiral polytopes atlas is available on the website http://www.abstract-polytopes.com/chiral/. Secondly, for each almost simple group Γ such that S ≤ Γ ≤ Aut(S) where S is a simple group and Γ is a group of order less than 900,000 listed in the Atlas of Finite Groups, we give, up to isomorphism, the number of abstract chiral polytopes on which Γ acts regularly. The results have been obtained using a series of Magma programs. All these polytopes are made available on the third author's website, at http://math.auckland.ac.nz/~dleemans/CHIRAL/.",2012-05-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/204,5,2,371,382,144
DP FAMNIT,On D. G. Higman's note on regular 3-graphs,10.26493/1855-3974.243.260,CC BY 4.0,"We introduce the notion of a t-graph and prove that regular 3-graphs are equivalent to cyclic antipodal 3-fold covers of a complete graph. This generalizes the equivalence of regular two-graphs and Taylor graphs. As a consequence, an equivalence between cyclic antipodal distance regular graphs of diameter 3 and certain rank 6 commutative association schemes is proved. New examples of regular 3-graphs are presented.",2012-05-31,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/243,6,1,99,115,145
DP FAMNIT,Some properties of the Zagreb eccentricity indices,10.26493/1855-3974.237.48a,CC BY 4.0,"The concept of Zagreb eccentricity (E1 and E2) indices was introduced in the chemical graph theory very recently . The first Zagreb eccentricity (E1) and the second Zagreb eccentricity (E2) indices of a graph G are defined as

E1 = E1(G) = ∑vi ∈ V(G) ei2

and

E2 = E2(G) = ∑vivj ∈ E(G) ei ⋅ ej , 

where E(G) is the edge set and ei is the eccentricity of the vertex vi in G. In this paper we give some lower and upper bounds on the first Zagreb eccentricity and the second Zagreb eccentricity indices of trees and graphs, and also characterize the extremal graphs.",2012-06-04,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/237,6,1,117,125,146
DP FAMNIT,Consensus strategies for signed profiles on graphs,10.26493/1855-3974.244.120,CC BY 4.0,"The median problem is a classical problem in Location Theory: one searches for a location that minimizes the average distance to the sites of the clients. This is for desired facilities as a distribution center for a set of warehouses. More recently, for obnoxious facilities, the antimedian was studied. Here one maximizes the average distance to the clients. In this paper the mixed case is studied. Clients are represented by a profile, which is a sequence of vertices with repetitions allowed. In a signed profile each element is provided with a sign from {+, −}. Thus one can take into account whether the client prefers the facility (with a + sign) or rejects it (with a − sign). The graphs for which all median sets, or all antimedian sets, are connected are characterized. Various consensus strategies for signed profiles are studied, amongst which Majority, Plurality and Scarcity. Hypercubes are the only graphs on which Majority produces the median set for all signed profiles. Finally, the antimedian sets are found by the Scarcity Strategy on e.g. Hamming graphs, Johnson graphs and halfcubes.",2012-06-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/244,6,1,127,145,147
DP FAMNIT,Quasi m-Cayley circulants,10.26493/1855-3974.256.e06,CC BY 4.0,"A graph Γ  is called a quasi m-Cayley graph on a group G if there exists a vertex ∞ ∈ V(Γ ) and a subgroup G of the vertex stabilizer Aut(Γ )∞ of the vertex ∞ in the full automorphism group Aut(Γ ) of Γ , such that G acts semiregularly on V(Γ ) ∖ {∞} with m orbits. If the vertex ∞ is adjacent to only one orbit of G on V(Γ ) ∖ {∞}, then Γ  is called a strongly quasi m-Cayley graph on G. In this paper complete classifications of quasi 2-Cayley, quasi 3-Cayley and strongly quasi 4-Cayley connected circulants are given.",2012-06-08,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/256,6,1,147,154,148
